corpus_id	corpus	role	entity_status	pattern	count	total	proportion	ner_evidence	extraction_status
ssj	UD Slovenian-SSJ	subject	entity	SVO	411	554	0.741877	manual_ner	direct_from_prepared
ssj	UD Slovenian-SSJ	subject	entity	SOV	40	554	0.072202	manual_ner	direct_from_prepared
ssj	UD Slovenian-SSJ	subject	entity	VSO	17	554	0.030686	manual_ner	direct_from_prepared
ssj	UD Slovenian-SSJ	subject	entity	VOS	5	554	0.009025	manual_ner	direct_from_prepared
ssj	UD Slovenian-SSJ	subject	entity	OSV	10	554	0.018051	manual_ner	direct_from_prepared
ssj	UD Slovenian-SSJ	subject	entity	OVS	71	554	0.128159	manual_ner	direct_from_prepared
ssj	UD Slovenian-SSJ	subject	common	SVO	1405	1988	0.706740	manual_ner	direct_from_prepared
ssj	UD Slovenian-SSJ	subject	common	SOV	139	1988	0.069920	manual_ner	direct_from_prepared
ssj	UD Slovenian-SSJ	subject	common	VSO	78	1988	0.039235	manual_ner	direct_from_prepared
ssj	UD Slovenian-SSJ	subject	common	VOS	39	1988	0.019618	manual_ner	direct_from_prepared
ssj	UD Slovenian-SSJ	subject	common	OSV	37	1988	0.018612	manual_ner	direct_from_prepared
ssj	UD Slovenian-SSJ	subject	common	OVS	290	1988	0.145875	manual_ner	direct_from_prepared
ssj	UD Slovenian-SSJ	object	entity	SVO	59	99	0.595960	manual_ner	direct_from_prepared
ssj	UD Slovenian-SSJ	object	entity	SOV	12	99	0.121212	manual_ner	direct_from_prepared
ssj	UD Slovenian-SSJ	object	entity	VSO	1	99	0.010101	manual_ner	direct_from_prepared
ssj	UD Slovenian-SSJ	object	entity	VOS	0	99	0.000000	manual_ner	direct_from_prepared
ssj	UD Slovenian-SSJ	object	entity	OSV	4	99	0.040404	manual_ner	direct_from_prepared
ssj	UD Slovenian-SSJ	object	entity	OVS	23	99	0.232323	manual_ner	direct_from_prepared
ssj	UD Slovenian-SSJ	object	common	SVO	1757	2443	0.719198	manual_ner	direct_from_prepared
ssj	UD Slovenian-SSJ	object	common	SOV	167	2443	0.068359	manual_ner	direct_from_prepared
ssj	UD Slovenian-SSJ	object	common	VSO	94	2443	0.038477	manual_ner	direct_from_prepared
ssj	UD Slovenian-SSJ	object	common	VOS	44	2443	0.018011	manual_ner	direct_from_prepared
ssj	UD Slovenian-SSJ	object	common	OSV	43	2443	0.017601	manual_ner	direct_from_prepared
ssj	UD Slovenian-SSJ	object	common	OVS	338	2443	0.138354	manual_ner	direct_from_prepared
sst	UD Slovenian-SST	subject	entity	SVO	14	24	0.583333	automatic_ner	direct_from_prepared
sst	UD Slovenian-SST	subject	entity	SOV	5	24	0.208333	automatic_ner	direct_from_prepared
sst	UD Slovenian-SST	subject	entity	VSO	2	24	0.083333	automatic_ner	direct_from_prepared
sst	UD Slovenian-SST	subject	entity	VOS	0	24	0.000000	automatic_ner	direct_from_prepared
sst	UD Slovenian-SST	subject	entity	OSV	0	24	0.000000	automatic_ner	direct_from_prepared
sst	UD Slovenian-SST	subject	entity	OVS	3	24	0.125000	automatic_ner	direct_from_prepared
sst	UD Slovenian-SST	subject	common	SVO	113	176	0.642045	automatic_ner	direct_from_prepared
sst	UD Slovenian-SST	subject	common	SOV	19	176	0.107955	automatic_ner	direct_from_prepared
sst	UD Slovenian-SST	subject	common	VSO	15	176	0.085227	automatic_ner	direct_from_prepared
sst	UD Slovenian-SST	subject	common	VOS	5	176	0.028409	automatic_ner	direct_from_prepared
sst	UD Slovenian-SST	subject	common	OSV	4	176	0.022727	automatic_ner	direct_from_prepared
sst	UD Slovenian-SST	subject	common	OVS	20	176	0.113636	automatic_ner	direct_from_prepared
sst	UD Slovenian-SST	object	entity	SVO	3	8	0.375000	automatic_ner	direct_from_prepared
sst	UD Slovenian-SST	object	entity	SOV	2	8	0.250000	automatic_ner	direct_from_prepared
sst	UD Slovenian-SST	object	entity	VSO	1	8	0.125000	automatic_ner	direct_from_prepared
sst	UD Slovenian-SST	object	entity	VOS	0	8	0.000000	automatic_ner	direct_from_prepared
sst	UD Slovenian-SST	object	entity	OSV	0	8	0.000000	automatic_ner	direct_from_prepared
sst	UD Slovenian-SST	object	entity	OVS	2	8	0.250000	automatic_ner	direct_from_prepared
sst	UD Slovenian-SST	object	common	SVO	124	192	0.645833	automatic_ner	direct_from_prepared
sst	UD Slovenian-SST	object	common	SOV	22	192	0.114583	automatic_ner	direct_from_prepared
sst	UD Slovenian-SST	object	common	VSO	16	192	0.083333	automatic_ner	direct_from_prepared
sst	UD Slovenian-SST	object	common	VOS	5	192	0.026042	automatic_ner	direct_from_prepared
sst	UD Slovenian-SST	object	common	OSV	4	192	0.020833	automatic_ner	direct_from_prepared
sst	UD Slovenian-SST	object	common	OVS	21	192	0.109375	automatic_ner	direct_from_prepared
suk-literary	SUK literary	subject	entity	SVO	95	105	0.904762	manual_ner	direct_from_prepared
suk-literary	SUK literary	subject	entity	SOV	5	105	0.047619	manual_ner	direct_from_prepared
suk-literary	SUK literary	subject	entity	VSO	4	105	0.038095	manual_ner	direct_from_prepared
suk-literary	SUK literary	subject	entity	VOS	0	105	0.000000	manual_ner	direct_from_prepared
suk-literary	SUK literary	subject	entity	OSV	0	105	0.000000	manual_ner	direct_from_prepared
suk-literary	SUK literary	subject	entity	OVS	1	105	0.009524	manual_ner	direct_from_prepared
suk-literary	SUK literary	subject	common	SVO	113	168	0.672619	manual_ner	direct_from_prepared
suk-literary	SUK literary	subject	common	SOV	8	168	0.047619	manual_ner	direct_from_prepared
suk-literary	SUK literary	subject	common	VSO	6	168	0.035714	manual_ner	direct_from_prepared
suk-literary	SUK literary	subject	common	VOS	4	168	0.023810	manual_ner	direct_from_prepared
